iter	RMSE
0	1139.409083
1	1098.576885
2	1059.370083
3	1023.806129
4	988.9108452
5	955.5715775
6	924.5852739
7	895.341918
8	867.5364151
9	841.4448267
10	817.023756
11	792.9281877
12	770.4443925
13	749.6204195
14	730.382408
15	711.9293398
16	694.6233281
17	677.8933923
18	662.3747742
19	648.6516456
20	635.4254191
21	622.6773509
22	610.838254
23	599.1752956
24	589.2070982
25	579.3764308
26	570.5023274
27	561.8755489
28	554.2137097
29	546.7591238
30	539.9899286
31	533.9459739
32	528.07318
33	522.6427624
34	517.5108736
35	513.0836331
36	508.7965679
37	504.6859461
38	500.730955
39	497.2609949
40	493.9501101
41	490.9495586
42	488.1271702
43	485.5116248
44	482.9933845
45	480.6115684
46	478.5788194
47	476.6314914
48	474.9089801
49	473.3513151
50	471.8854728
51	470.4543148
52	469.3159238
53	468.1443495
54	467.1755691
55	466.1939919
56	465.3137984
57	464.457389
58	463.6238225
59	463.0054874
60	462.114614
61	461.437218
62	460.8413479
63	460.3603246
64	459.8308789
65	459.1429445
66	458.5137457
67	458.09398
68	457.6107404
69	457.2721365
70	456.6226207
71	456.1837215
72	455.8720608
73	455.6002109
74	455.3036827
75	454.7702562
76	454.2397748
77	453.9136663
78	453.553284
79	453.2513696
80	452.8991093
81	452.689837
82	452.3409516
83	452.0011821
84	451.5963259
85	451.1056889
86	450.8629298
87	450.7420704
88	450.5601798
89	450.1424918
90	449.7431509
91	449.6143074
92	449.36938
93	449.1262035
94	448.5676889
95	448.3392844
96	448.2340204
97	448.0066327
98	447.6823505
99	447.4961444
100	447.1089621
101	447.0700369
102	446.8492262
103	446.3808859
104	446.0462018
105	445.7885118
106	445.7187299
107	445.5633936
108	445.4072766
109	445.1593898
110	445.0612517
111	444.7045301
112	444.5368462
113	444.01659
114	443.8674837
115	443.3333581
116	443.2443478
117	442.9495084
118	442.629065
119	442.4719819
120	442.2360643
121	441.7441212
122	441.6367238
123	441.5476462
124	441.4470621
125	441.3405413
126	441.1240041
127	440.7384877
128	440.4862661
129	440.172282
130	439.8218083
131	439.7433316
132	439.5312458
133	439.2415192
134	438.8375503
135	438.7130115
136	438.5517206
137	438.2489578
138	438.1066408
139	437.6189417
140	437.3060608
141	437.0575464
142	436.9690685
143	436.9202385
144	436.6332853
145	436.3742396
146	436.1269408
147	435.8665033
148	435.6530295
149	435.5931675
150	435.261393
151	434.967679
152	434.7966583
153	434.7418543
154	434.6936836
155	434.6019151
156	434.5491169
157	434.4717098
158	434.3314474
159	434.2010126
160	434.1299032
161	433.9727675
162	433.8377634
163	433.771909
164	433.5608328
165	433.2842093
166	433.0721642
167	432.9205867
168	432.7699296
169	432.6253481
170	432.2813913
171	431.9394865
172	431.8196362
173	431.5760405
174	431.4230488
175	431.1331219
176	430.8570338
177	430.7205799
178	430.5107502
179	430.4033198
180	430.0954188
181	430.0693073
182	429.9836442
183	429.7430339
184	429.5597954
185	429.2694235
186	429.2443012
187	429.0247781
188	428.9561031
189	428.7817137
190	428.5763599
191	428.4778739
192	428.3992983
193	428.0881164
194	427.76633
195	427.6259733
196	427.4076739
197	427.3455395
198	427.0987739
199	426.7495983
200	426.5928013
201	426.4418718
202	426.1976768
203	426.1103047
204	425.869108
205	425.647254
206	425.474202
207	425.1826279
208	424.9737414
209	424.6997174
210	424.2561589
211	424.0975282
212	424.0240729
213	423.8133853
214	423.6028516
215	423.3886047
216	422.9006349
217	422.8372475
218	422.5817546
219	422.3763788
220	422.1491627
221	421.7490247
222	421.7231021
223	421.6091859
224	421.4163375
225	421.2675656
226	421.2289086
227	421.1881072
228	421.056032
229	420.6945229
230	420.4966679
231	420.3584623
232	420.0865019
233	419.7065192
234	419.49846
235	419.4330695
236	419.1300699
237	418.9243712
238	418.5256877
239	418.3762414
240	418.3125681
241	418.0292456
242	417.8309889
243	417.6526994
244	417.6298242
245	417.5013152
246	417.3561933
247	416.9892441
248	416.8984291
249	416.713566
250	416.5766309
251	416.2890355
252	415.9408252
253	415.872632
254	415.7398673
255	415.5388921
256	415.1721934
257	415.0230787
258	415.0065968
259	414.8195174
260	414.6805229
261	414.4322885
