iter	Passed	Remaining
0	1	1291
1	2	1230
2	3	1199
3	4	1190
4	5	1177
5	7	1172
6	8	1175
7	9	1164
8	10	1164
9	11	1160
10	12	1157
11	13	1152
12	15	1151
13	16	1150
14	17	1144
15	18	1142
16	19	1142
17	20	1138
18	22	1137
19	23	1136
20	24	1133
21	25	1131
22	26	1129
23	27	1129
24	29	1131
25	30	1128
26	31	1126
27	32	1124
28	33	1123
29	34	1120
30	35	1119
31	36	1119
32	38	1118
33	39	1117
34	40	1116
35	41	1115
36	42	1113
37	43	1113
38	45	1111
39	46	1108
40	47	1107
41	48	1106
42	49	1105
43	50	1105
44	52	1104
45	53	1103
46	54	1102
47	55	1101
48	56	1101
49	57	1099
50	58	1097
51	60	1096
52	61	1096
53	62	1094
54	63	1092
55	64	1090
56	65	1088
57	66	1087
58	68	1088
59	69	1087
60	70	1086
61	71	1085
62	72	1082
63	73	1081
64	75	1081
65	76	1080
66	77	1079
67	78	1078
68	79	1077
69	80	1075
70	82	1074
71	83	1075
72	84	1074
73	85	1073
74	86	1071
75	88	1070
76	89	1069
77	90	1068
78	91	1067
79	92	1066
80	93	1065
81	95	1064
82	96	1064
83	97	1064
84	98	1063
85	99	1061
86	101	1060
87	102	1059
88	103	1058
89	104	1058
90	105	1057
91	107	1056
92	108	1055
93	109	1054
94	110	1053
95	111	1054
96	113	1053
97	114	1053
98	116	1057
99	118	1064
100	120	1071
101	122	1077
102	124	1084
103	126	1088
104	128	1092
105	129	1094
106	131	1097
107	133	1099
108	134	1100
109	135	1099
110	137	1098
111	138	1097
112	139	1098
113	141	1098
114	142	1097
115	144	1097
116	145	1097
117	146	1097
118	148	1096
119	149	1094
120	150	1092
121	151	1091
122	152	1089
123	154	1088
124	155	1087
125	156	1085
126	157	1084
127	158	1082
128	160	1080
129	161	1080
130	162	1078
131	163	1076
132	164	1075
133	166	1073
134	167	1071
135	168	1070
136	169	1068
137	170	1067
138	172	1066
139	173	1064
140	175	1068
141	177	1072
142	179	1073
143	180	1072
144	181	1072
145	183	1074
146	184	1073
147	186	1072
148	187	1071
149	188	1070
150	190	1072
151	192	1071
152	193	1070
153	194	1069
154	196	1071
155	198	1073
156	200	1074
157	201	1074
158	202	1072
159	204	1071
160	205	1070
161	206	1070
162	208	1068
163	209	1067
164	210	1065
165	211	1064
166	213	1062
167	214	1060
168	215	1059
169	216	1057
170	217	1056
171	219	1056
172	221	1058
173	222	1058
174	224	1058
175	225	1057
176	228	1060
177	230	1063
178	232	1065
179	233	1065
180	235	1063
181	236	1063
182	237	1060
183	238	1059
184	240	1057
185	242	1059
186	243	1059
187	245	1060
188	247	1061
189	249	1061
190	250	1059
191	251	1057
192	252	1056
193	253	1054
194	255	1054
195	256	1052
196	257	1051
197	259	1050
198	260	1048
199	261	1047
200	264	1050
201	265	1049
202	266	1047
203	268	1046
204	269	1045
205	271	1045
206	272	1043
207	273	1041
208	274	1040
209	276	1040
210	277	1039
211	279	1037
212	280	1035
213	281	1034
214	282	1032
215	284	1030
216	285	1030
217	287	1030
218	288	1028
219	289	1027
220	291	1026
221	292	1025
222	293	1024
223	295	1022
224	296	1021
225	297	1019
226	299	1018
227	300	1017
228	301	1016
229	303	1016
230	305	1015
231	306	1015
232	308	1014
233	309	1012
234	310	1011
235	311	1009
236	313	1008
237	314	1007
238	315	1005
239	317	1004
240	318	1002
241	319	1002
242	321	1001
243	322	999
244	323	997
245	324	995
246	326	995
247	328	995
248	329	993
249	330	991
250	331	990
251	332	988
252	334	988
253	336	987
254	337	985
255	338	984
256	340	983
257	341	981
258	342	979
259	343	978
260	344	976
